From,To,Year,Weight
6810,6796,1991,1
6810,9726,1991,1
6812,6954,1991,1
6812,6812,1991,1
6812,7615,1991,1
6814,6784,1991,1
6814,8569,1991,1
6814,8589,1991,1
6814,9078,1991,1
6818,8313,1991,1
6823,8586,1991,1
8363,8364,1991,1
6829,8067,1991,1
6848,10058,1991,1
6848,9860,1991,1
6848,8447,1991,1
8385,8386,1991,1
6852,7996,1991,1
7883,7884,1991,1
6897,8531,1991,1
7929,7930,1991,1
7483,8656,1991,1
6801,10372,1991,1
8003,8495,1991,1
8023,7128,1991,1
6803,7231,1991,1
8569,6807,1991,1
12198,12199,1991,1
7101,9981,1991,1
6819,8120,1991,1
7135,6813,1991,1
9389,9390,1992,1
9058,6786,1992,1
8718,8719,1992,1
8285,8286,1992,1
7266,6800,1992,1
9833,6790,1992,1
6806,10841,1992,1
6781,9568,1992,1
6781,7042,1992,1
6781,7532,1992,1
6781,7117,1992,1
6781,7822,1992,1
6781,8272,1992,1
6781,6933,1992,2
6781,7894,1992,1
6781,7962,1992,1
6781,7900,1992,1
6781,6781,1992,1
6781,11007,1992,1
6782,9024,1992,1
6782,6790,1992,1
6782,12055,1992,1
6783,8119,1992,1
6785,6848,1992,2
6785,9857,1992,1
6785,7266,1992,1
6785,10820,1992,1
6785,10117,1992,1
6785,10952,1992,1
6785,7483,1992,2
6785,7948,1992,1
6785,6798,1992,1
6785,6933,1992,1
6786,6848,1992,1
6786,8980,1992,1
6786,6781,1992,1
6787,6848,1992,1
6787,8041,1992,1
6787,6953,1992,1
6791,7353,1992,1
6791,7266,1992,1
6791,10915,1992,1
6792,8850,1992,1
6792,10924,1992,1
7540,7042,1992,1
6807,6807,1992,1
6797,7987,1992,1
6798,8544,1992,1
6798,6933,1992,1
6799,7042,1992,1
6800,6800,1992,1
6800,7042,1992,1
6800,6852,1992,1
6800,8283,1992,1
6800,7900,1992,1
6800,7326,1992,1
8216,6781,1992,1
6804,6784,1992,1
6804,7128,1992,1
6804,6931,1992,1
6804,8901,1992,1
6804,8214,1992,1
6804,10743,1992,1
6804,6792,1992,1
6804,6807,1992,1
6804,7020,1992,1
6804,10126,1992,1
6804,6933,1992,1
6805,7128,1992,1
6805,8729,1992,1
6808,7900,1992,1
6820,6848,1992,1
6821,7078,1992,1
6821,10750,1992,1
6821,10991,1992,1
6823,10674,1992,1
6825,8633,1992,1
6825,7714,1992,1
6825,7068,1992,1
6825,10479,1992,1
6829,8042,1992,1
6829,8068,1992,1
6829,6890,1992,1
7361,7958,1992,1
6848,8120,1992,1
6848,6829,1992,1
6848,8302,1992,1
6869,6792,1992,1
6869,6892,1992,1
7394,6793,1992,1
7396,9862,1992,1
6793,6930,1992,1
6793,8086,1992,1
6793,8040,1992,1
6793,6793,1992,1
6793,7100,1992,1
6793,7042,1992,1
6890,7128,1992,1
6954,6931,1992,1
6910,8470,1992,1
7423,7152,1992,1
9988,9989,1992,1
6930,8082,1992,1
7957,7361,1992,1
6789,6848,1992,1
6789,10038,1992,1
6812,7513,1992,1
6790,8177,1992,1
7471,7025,1992,1
7483,7608,1992,1
6795,6892,1992,1
6795,6848,1992,1
6795,8562,1992,1
6795,10123,1992,1
6795,6795,1992,1
6795,6869,1992,1
6795,9257,1992,1
6795,10835,1992,1
6795,7483,1992,1
6795,7724,1992,1
6795,8589,1992,1
6796,7128,1992,1
8546,6805,1992,1
6801,9616,1992,1
6801,9958,1992,1
8555,9988,1992,1
6802,7128,1992,1
6802,6788,1992,1
7743,7742,1992,1
6809,10882,1992,1
6809,8389,1992,1
